2026-07-02 14:08:53 | INFO     | ETL | Finished: save_dimensions (0.09 sec)
2026-07-02 14:08:53 | INFO     | ETL | Started: save_facts
2026-07-02 14:08:53 | INFO     | ETL | Saving fact tables...
2026-07-02 14:08:53 | INFO     | ETL | Saved FACT_Sales.csv (80238 rows).
2026-07-02 14:08:53 | INFO     | ETL | Saved FACT_Forecast.csv (33 rows).
2026-07-02 14:08:53 | INFO     | ETL | Fact tables saved.
2026-07-02 14:08:53 | INFO     | ETL | Finished: save_facts (0.29 sec)
2026-07-02 14:08:53 | INFO     | ETL | ============================================================
2026-07-02 14:08:53 | INFO     | ETL | ETL Pipeline Completed Successfully
2026-07-02 14:08:53 | INFO     | ETL | Execution Time : 11.67 seconds
2026-07-02 14:08:53 | INFO     | ETL | ============================================================
2026-07-02 14:08:54 | INFO     | ETL | Finished: main (11.79 sec)
