DateKey,Date,Year,Month,MonthName,Quarter,DayOfWeek,DayOfMonth,WeekOfYear,IsWeekend
95,2008-04-04,2008,4,April,2,Friday,4,14,True
96,2008-04-05,2008,4,April,2,Saturday,5,14,True
97,2008-04-06,2008,4,April,2,Sunday,6,14,False
98,2008-04-07,2008,4,April,2,Monday,7,15,False
99,2008-04-08,2008,4,April,2,Tuesday,8,15,False
100,2008-04-09,2008,4,April,2,Wednesday,9,15,False
101,2008-04-10,2008,4,April,2,Thursday,10,15,False
102,2008-04-11,2008,4,April,2,Friday,11,15,True
103,2008-04-12,2008,4,April,2,Saturday,12,15,True
104,2008-04-13,2008,4,April,2,Sunday,13,15,False
105,2008-04-14,2008,4,April,2,Monday,14,16,False
106,2008-04-15,2008,4,April,2,Tuesday,15,16,False
107,2008-04-16,2008,4,April,2,Wednesday,16,16,False
108,2008-04-17,2008,4,April,2,Thursday,17,16,False
109,2008-04-18,2008,4,April,2,Friday,18,16,True
110,2008-04-19,2008,4,April,2,Saturday,19,16,True
111,2008-04-20,2008,4,April,2,Sunday,20,16,False
112,2008-04-21,2008,4,April,2,Monday,21,17,False
113,2008-04-22,2008,4,April,2,Tuesday,22,17,False
114,2008-04-23,2008,4,April,2,Wednesday,23,17,False
115,2008-04-24,2008,4,April,2,Thursday,24,17,False
116,2008-04-25,2008,4,April,2,Friday,25,17,True
117,2008-04-26,2008,4,April,2,Saturday,26,17,True
118,2008-04-27,2008,4,April,2,Sunday,27,17,False
119,2008-04-28,2008,4,April,2,Monday,28,18,False
120,2008-04-29,2008,4,April,2,Tuesday,29,18,False
121,2008-04-30,2008,4,April,2,Wednesday,30,18,False
122,2008-05-01,2008,5,May,2,Thursday,1,18,False
123,2008-05-02,2008,5,May,2,Friday,2,18,True
124,2008-05-03,2008,5,May,2,Saturday,3,18,True
125,2008-05-04,2008,5,May,2,Sunday,4,18,False
126,2008-05-05,2008,5,May,2,Monday,5,19,False
127,2008-05-06,2008,5,May,2,Tuesday,6,19,False
128,2008-05-07,2008,5,May,2,Wednesday,7,19,False
129,2008-05-08,2008,5,May,2,Thursday,8,19,False
130,2008-05-09,2008,5,May,2,Friday,9,19,True
131,2008-05-10,2008,5,May,2,Saturday,10,19,True
132,2008-05-11,2008,5,May,2,Sunday,11,19,False
133,2008-05-12,2008,5,May,2,Monday,12,20,False
134,2008-05-13,2008,5,May,2,Tuesday,13,20,False
135,2008-05-14,2008,5,May,2,Wednesday,14,20,False
136,2008-05-15,2008,5,May,2,Thursday,15,20,False
137,2008-05-16,2008,5,May,2,Friday,16,20,True
138,2008-05-17,2008,5,May,2,Saturday,17,20,True
139,2008-05-18,2008,5,May,2,Sunday,18,20,False
140,2008-05-19,2008,5,May,2,Monday,19,21,False
141,2008-05-20,2008,5,May,2,Tuesday,20,21,False
142,2008-05-21,2008,5,May,2,Wednesday,21,21,False
143,2008-05-22,2008,5,May,2,Thursday,22,21,False
144,2008-05-23,2008,5,May,2,Friday,23,21,True
145,2008-05-24,2008,5,May,2,Saturday,24,21,True
146,2008-05-25,2008,5,May,2,Sunday,25,21,False
147,2008-05-26,2008,5,May,2,Monday,26,22,False
148,2008-05-27,2008,5,May,2,Tuesday,27,22,False
149,2008-05-28,2008,5,May,2,Wednesday,28,22,False
150,2008-05-29,2008,5,May,2,Thursday,29,22,False
151,2008-05-30,2008,5,May,2,Friday,30,22,True
152,2008-05-31,2008,5,May,2,Saturday,31,22,True
153,2008-06-01,2008,6,June,2,Sunday,1,22,False
154,2008-06-02,2008,6,June,2,Monday,2,23,False
155,2008-06-03,2008,6,June,2,Tuesday,3,23,False
156,2008-06-04,2008,6,June,2,Wednesday,4,23,False
157,2008-06-05,2008,6,June,2,Thursday,5,23,False
158,2008-06-06,2008,6,June,2,Friday,6,23,True
159,2008-06-07,2008,6,June,2,Saturday,7,23,True
160,2008-06-08,2008,6,June,2,Sunday,8,23,False
161,2008-06-09,2008,6,June,2,Monday,9,24,False
162,2008-06-10,2008,6,June,2,Tuesday,10,24,False
163,2008-06-11,2008,6,June,2,Wednesday,11,24,False
164,2008-06-12,2008,6,June,2,Thursday,12,24,False
165,2008-06-13,2008,6,June,2,Friday,13,24,True
166,2008-06-14,2008,6,June,2,Saturday,14,24,True
167,2008-06-15,2008,6,June,2,Sunday,15,24,False
168,2008-06-16,2008,6,June,2,Monday,16,25,False
169,2008-06-17,2008,6,June,2,Tuesday,17,25,False
170,2008-06-18,2008,6,June,2,Wednesday,18,25,False
171,2008-06-19,2008,6,June,2,Thursday,19,25,False
172,2008-06-20,2008,6,June,2,Friday,20,25,True
173,2008-06-21,2008,6,June,2,Saturday,21,25,True
174,2008-06-22,2008,6,June,2,Sunday,22,25,False
175,2008-06-23,2008,6,June,2,Monday,23,26,False
176,2008-06-24,2008,6,June,2,Tuesday,24,26,False
177,2008-06-25,2008,6,June,2,Wednesday,25,26,False
178,2008-06-26,2008,6,June,2,Thursday,26,26,False
179,2008-06-27,2008,6,June,2,Friday,27,26,True
180,2008-06-28,2008,6,June,2,Saturday,28,26,True
181,2008-06-29,2008,6,June,2,Sunday,29,26,False
182,2008-06-30,2008,6,June,2,Monday,30,27,False
183,2008-07-01,2008,7,July,3,Tuesday,1,27,False
184,2008-07-02,2008,7,July,3,Wednesday,2,27,False
185,2008-07-03,2008,7,July,3,Thursday,3,27,False
186,2008-07-04,2008,7,July,3,Friday,4,27,True
187,2008-07-05,2008,7,July,3,Saturday,5,27,True
188,2008-07-06,2008,7,July,3,Sunday,6,27,False
189,2008-07-07,2008,7,July,3,Monday,7,28,False
190,2008-07-08,2008,7,July,3,Tuesday,8,28,False
191,2008-07-09,2008,7,July,3,Wednesday,9,28,False
192,2008-07-10,2008,7,July,3,Thursday,10,28,False
193,2008-07-11,2008,7,July,3,Friday,11,28,True
194,2008-07-12,2008,7,July,3,Saturday,12,28,True
195,2008-07-13,2008,7,July,3,Sunday,13,28,False
196,2008-07-14,2008,7,July,3,Monday,14,29,False
197,2008-07-15,2008,7,July,3,Tuesday,15,29,False
198,2008-07-16,2008,7,July,3,Wednesday,16,29,False
199,2008-07-17,2008,7,July,3,Thursday,17,29,False
200,2008-07-18,2008,7,July,3,Friday,18,29,True
201,2008-07-19,2008,7,July,3,Saturday,19,29,True
202,2008-07-20,2008,7,July,3,Sunday,20,29,False
203,2008-07-21,2008,7,July,3,Monday,21,30,False
204,2008-07-22,2008,7,July,3,Tuesday,22,30,False
205,2008-07-23,2008,7,July,3,Wednesday,23,30,False
206,2008-07-24,2008,7,July,3,Thursday,24,30,False
207,2008-07-25,2008,7,July,3,Friday,25,30,True
208,2008-07-26,2008,7,July,3,Saturday,26,30,True
209,2008-07-27,2008,7,July,3,Sunday,27,30,False
210,2008-07-28,2008,7,July,3,Monday,28,31,False
211,2008-07-29,2008,7,July,3,Tuesday,29,31,False
212,2008-07-30,2008,7,July,3,Wednesday,30,31,False
213,2008-07-31,2008,7,July,3,Thursday,31,31,False
214,2008-08-01,2008,8,August,3,Friday,1,31,True
215,2008-08-02,2008,8,August,3,Saturday,2,31,True
216,2008-08-03,2008,8,August,3,Sunday,3,31,False
217,2008-08-04,2008,8,August,3,Monday,4,32,False
218,2008-08-05,2008,8,August,3,Tuesday,5,32,False
219,2008-08-06,2008,8,August,3,Wednesday,6,32,False
220,2008-08-07,2008,8,August,3,Thursday,7,32,False
221,2008-08-08,2008,8,August,3,Friday,8,32,True
222,2008-08-09,2008,8,August,3,Saturday,9,32,True
223,2008-08-10,2008,8,August,3,Sunday,10,32,False
224,2008-08-11,2008,8,August,3,Monday,11,33,False
225,2008-08-12,2008,8,August,3,Tuesday,12,33,False
226,2008-08-13,2008,8,August,3,Wednesday,13,33,False
227,2008-08-14,2008,8,August,3,Thursday,14,33,False
228,2008-08-15,2008,8,August,3,Friday,15,33,True
229,2008-08-16,2008,8,August,3,Saturday,16,33,True
230,2008-08-17,2008,8,August,3,Sunday,17,33,False
231,2008-08-18,2008,8,August,3,Monday,18,34,False
232,2008-08-19,2008,8,August,3,Tuesday,19,34,False
233,2008-08-20,2008,8,August,3,Wednesday,20,34,False
234,2008-08-21,2008,8,August,3,Thursday,21,34,False
235,2008-08-22,2008,8,August,3,Friday,22,34,True
236,2008-08-23,2008,8,August,3,Saturday,23,34,True
237,2008-08-24,2008,8,August,3,Sunday,24,34,False
238,2008-08-25,2008,8,August,3,Monday,25,35,False
239,2008-08-26,2008,8,August,3,Tuesday,26,35,False
240,2008-08-27,2008,8,August,3,Wednesday,27,35,False
241,2008-08-28,2008,8,August,3,Thursday,28,35,False
242,2008-08-29,2008,8,August,3,Friday,29,35,True
243,2008-08-30,2008,8,August,3,Saturday,30,35,True
244,2008-08-31,2008,8,August,3,Sunday,31,35,False
245,2008-09-01,2008,9,September,3,Monday,1,36,False
246,2008-09-02,2008,9,September,3,Tuesday,2,36,False
247,2008-09-03,2008,9,September,3,Wednesday,3,36,False
248,2008-09-04,2008,9,September,3,Thursday,4,36,False
249,2008-09-05,2008,9,September,3,Friday,5,36,True
250,2008-09-06,2008,9,September,3,Saturday,6,36,True
251,2008-09-07,2008,9,September,3,Sunday,7,36,False
252,2008-09-08,2008,9,September,3,Monday,8,37,False
253,2008-09-09,2008,9,September,3,Tuesday,9,37,False
254,2008-09-10,2008,9,September,3,Wednesday,10,37,False
255,2008-09-11,2008,9,September,3,Thursday,11,37,False
256,2008-09-12,2008,9,September,3,Friday,12,37,True
257,2008-09-13,2008,9,September,3,Saturday,13,37,True
258,2008-09-14,2008,9,September,3,Sunday,14,37,False
259,2008-09-15,2008,9,September,3,Monday,15,38,False
260,2008-09-16,2008,9,September,3,Tuesday,16,38,False
261,2008-09-17,2008,9,September,3,Wednesday,17,38,False
262,2008-09-18,2008,9,September,3,Thursday,18,38,False
263,2008-09-19,2008,9,September,3,Friday,19,38,True
264,2008-09-20,2008,9,September,3,Saturday,20,38,True
265,2008-09-21,2008,9,September,3,Sunday,21,38,False
266,2008-09-22,2008,9,September,3,Monday,22,39,False
267,2008-09-23,2008,9,September,3,Tuesday,23,39,False
268,2008-09-24,2008,9,September,3,Wednesday,24,39,False
269,2008-09-25,2008,9,September,3,Thursday,25,39,False
270,2008-09-26,2008,9,September,3,Friday,26,39,True
271,2008-09-27,2008,9,September,3,Saturday,27,39,True
272,2008-09-28,2008,9,September,3,Sunday,28,39,False
273,2008-09-29,2008,9,September,3,Monday,29,40,False
274,2008-09-30,2008,9,September,3,Tuesday,30,40,False
275,2008-10-01,2008,10,October,4,Wednesday,1,40,False
276,2008-10-02,2008,10,October,4,Thursday,2,40,False
277,2008-10-03,2008,10,October,4,Friday,3,40,True
278,2008-10-04,2008,10,October,4,Saturday,4,40,True
279,2008-10-05,2008,10,October,4,Sunday,5,40,False
280,2008-10-06,2008,10,October,4,Monday,6,41,False
281,2008-10-07,2008,10,October,4,Tuesday,7,41,False
282,2008-10-08,2008,10,October,4,Wednesday,8,41,False
283,2008-10-09,2008,10,October,4,Thursday,9,41,False
284,2008-10-10,2008,10,October,4,Friday,10,41,True
285,2008-10-11,2008,10,October,4,Saturday,11,41,True
286,2008-10-12,2008,10,October,4,Sunday,12,41,False
287,2008-10-13,2008,10,October,4,Monday,13,42,False
288,2008-10-14,2008,10,October,4,Tuesday,14,42,False
289,2008-10-15,2008,10,October,4,Wednesday,15,42,False
290,2008-10-16,2008,10,October,4,Thursday,16,42,False
291,2008-10-17,2008,10,October,4,Friday,17,42,True
292,2008-10-18,2008,10,October,4,Saturday,18,42,True
293,2008-10-19,2008,10,October,4,Sunday,19,42,False
294,2008-10-20,2008,10,October,4,Monday,20,43,False
295,2008-10-21,2008,10,October,4,Tuesday,21,43,False
296,2008-10-22,2008,10,October,4,Wednesday,22,43,False
297,2008-10-23,2008,10,October,4,Thursday,23,43,False
298,2008-10-24,2008,10,October,4,Friday,24,43,True
299,2008-10-25,2008,10,October,4,Saturday,25,43,True
300,2008-10-26,2008,10,October,4,Sunday,26,43,False
301,2008-10-27,2008,10,October,4,Monday,27,44,False
302,2008-10-28,2008,10,October,4,Tuesday,28,44,False
303,2008-10-29,2008,10,October,4,Wednesday,29,44,False
304,2008-10-30,2008,10,October,4,Thursday,30,44,False
305,2008-10-31,2008,10,October,4,Friday,31,44,True
306,2008-11-01,2008,11,November,4,Saturday,1,44,True
307,2008-11-02,2008,11,November,4,Sunday,2,44,False
308,2008-11-03,2008,11,November,4,Monday,3,45,False
309,2008-11-04,2008,11,November,4,Tuesday,4,45,False
310,2008-11-05,2008,11,November,4,Wednesday,5,45,False
311,2008-11-06,2008,11,November,4,Thursday,6,45,False
312,2008-11-07,2008,11,November,4,Friday,7,45,True
313,2008-11-08,2008,11,November,4,Saturday,8,45,True
314,2008-11-09,2008,11,November,4,Sunday,9,45,False
315,2008-11-10,2008,11,November,4,Monday,10,46,False
316,2008-11-11,2008,11,November,4,Tuesday,11,46,False
317,2008-11-12,2008,11,November,4,Wednesday,12,46,False
318,2008-11-13,2008,11,November,4,Thursday,13,46,False
319,2008-11-14,2008,11,November,4,Friday,14,46,True
320,2008-11-15,2008,11,November,4,Saturday,15,46,True
321,2008-11-16,2008,11,November,4,Sunday,16,46,False
322,2008-11-17,2008,11,November,4,Monday,17,47,False
323,2008-11-18,2008,11,November,4,Tuesday,18,47,False
324,2008-11-19,2008,11,November,4,Wednesday,19,47,False
325,2008-11-20,2008,11,November,4,Thursday,20,47,False
326,2008-11-21,2008,11,November,4,Friday,21,47,True
327,2008-11-22,2008,11,November,4,Saturday,22,47,True
328,2008-11-23,2008,11,November,4,Sunday,23,47,False
329,2008-11-24,2008,11,November,4,Monday,24,48,False
330,2008-11-25,2008,11,November,4,Tuesday,25,48,False
331,2008-11-26,2008,11,November,4,Wednesday,26,48,False
332,2008-11-27,2008,11,November,4,Thursday,27,48,False
333,2008-11-28,2008,11,November,4,Friday,28,48,True
334,2008-11-29,2008,11,November,4,Saturday,29,48,True
335,2008-11-30,2008,11,November,4,Sunday,30,48,False
336,2008-12-01,2008,12,December,4,Monday,1,49,False
337,2008-12-02,2008,12,December,4,Tuesday,2,49,False
338,2008-12-03,2008,12,December,4,Wednesday,3,49,False
339,2008-12-04,2008,12,December,4,Thursday,4,49,False
340,2008-12-05,2008,12,December,4,Friday,5,49,True
341,2008-12-06,2008,12,December,4,Saturday,6,49,True
342,2008-12-07,2008,12,December,4,Sunday,7,49,False
343,2008-12-08,2008,12,December,4,Monday,8,50,False
344,2008-12-09,2008,12,December,4,Tuesday,9,50,False
345,2008-12-10,2008,12,December,4,Wednesday,10,50,False
346,2008-12-11,2008,12,December,4,Thursday,11,50,False
347,2008-12-12,2008,12,December,4,Friday,12,50,True
348,2008-12-13,2008,12,December,4,Saturday,13,50,True
349,2008-12-14,2008,12,December,4,Sunday,14,50,False
350,2008-12-15,2008,12,December,4,Monday,15,51,False
351,2008-12-16,2008,12,December,4,Tuesday,16,51,False
352,2008-12-17,2008,12,December,4,Wednesday,17,51,False
353,2008-12-18,2008,12,December,4,Thursday,18,51,False
354,2008-12-19,2008,12,December,4,Friday,19,51,True
355,2008-12-20,2008,12,December,4,Saturday,20,51,True
356,2008-12-21,2008,12,December,4,Sunday,21,51,False
357,2008-12-22,2008,12,December,4,Monday,22,52,False
358,2008-12-23,2008,12,December,4,Tuesday,23,52,False
359,2008-12-24,2008,12,December,4,Wednesday,24,52,False
360,2008-12-25,2008,12,December,4,Thursday,25,52,False
361,2008-12-26,2008,12,December,4,Friday,26,52,True
362,2008-12-27,2008,12,December,4,Saturday,27,52,True
363,2008-12-28,2008,12,December,4,Sunday,28,52,False
364,2008-12-29,2008,12,December,4,Monday,29,1,False
365,2008-12-30,2008,12,December,4,Tuesday,30,1,False
366,2008-12-31,2008,12,December,4,Wednesday,31,1,False
367,2009-01-01,2009,1,January,1,Thursday,1,1,False
368,2009-01-02,2009,1,January,1,Friday,2,1,True
369,2009-01-03,2009,1,January,1,Saturday,3,1,True
370,2009-01-04,2009,1,January,1,Sunday,4,1,False
371,2009-01-05,2009,1,January,1,Monday,5,2,False
372,2009-01-06,2009,1,January,1,Tuesday,6,2,False
373,2009-01-07,2009,1,January,1,Wednesday,7,2,False
374,2009-01-08,2009,1,January,1,Thursday,8,2,False
375,2009-01-09,2009,1,January,1,Friday,9,2,True
376,2009-01-10,2009,1,January,1,Saturday,10,2,True
377,2009-01-11,2009,1,January,1,Sunday,11,2,False
378,2009-01-12,2009,1,January,1,Monday,12,3,False
379,2009-01-13,2009,1,January,1,Tuesday,13,3,False
380,2009-01-14,2009,1,January,1,Wednesday,14,3,False
381,2009-01-15,2009,1,January,1,Thursday,15,3,False
382,2009-01-16,2009,1,January,1,Friday,16,3,True
383,2009-01-17,2009,1,January,1,Saturday,17,3,True
384,2009-01-18,2009,1,January,1,Sunday,18,3,False
385,2009-01-19,2009,1,January,1,Monday,19,4,False
386,2009-01-20,2009,1,January,1,Tuesday,20,4,False
387,2009-01-21,2009,1,January,1,Wednesday,21,4,False
388,2009-01-22,2009,1,January,1,Thursday,22,4,False
389,2009-01-23,2009,1,January,1,Friday,23,4,True
390,2009-01-24,2009,1,January,1,Saturday,24,4,True
391,2009-01-25,2009,1,January,1,Sunday,25,4,False
392,2009-01-26,2009,1,January,1,Monday,26,5,False
393,2009-01-27,2009,1,January,1,Tuesday,27,5,False
394,2009-01-28,2009,1,January,1,Wednesday,28,5,False
395,2009-01-29,2009,1,January,1,Thursday,29,5,False
396,2009-01-30,2009,1,January,1,Friday,30,5,True
397,2009-01-31,2009,1,January,1,Saturday,31,5,True
398,2009-02-01,2009,2,February,1,Sunday,1,5,False
399,2009-02-02,2009,2,February,1,Monday,2,6,False
400,2009-02-03,2009,2,February,1,Tuesday,3,6,False
401,2009-02-04,2009,2,February,1,Wednesday,4,6,False
402,2009-02-05,2009,2,February,1,Thursday,5,6,False
403,2009-02-06,2009,2,February,1,Friday,6,6,True
404,2009-02-07,2009,2,February,1,Saturday,7,6,True
405,2009-02-08,2009,2,February,1,Sunday,8,6,False
406,2009-02-09,2009,2,February,1,Monday,9,7,False
407,2009-02-10,2009,2,February,1,Tuesday,10,7,False
408,2009-02-11,2009,2,February,1,Wednesday,11,7,False
409,2009-02-12,2009,2,February,1,Thursday,12,7,False
410,2009-02-13,2009,2,February,1,Friday,13,7,True
411,2009-02-14,2009,2,February,1,Saturday,14,7,True
412,2009-02-15,2009,2,February,1,Sunday,15,7,False
413,2009-02-16,2009,2,February,1,Monday,16,8,False
414,2009-02-17,2009,2,February,1,Tuesday,17,8,False
415,2009-02-18,2009,2,February,1,Wednesday,18,8,False
416,2009-02-19,2009,2,February,1,Thursday,19,8,False
417,2009-02-20,2009,2,February,1,Friday,20,8,True
418,2009-02-21,2009,2,February,1,Saturday,21,8,True
